frequency	power
1419.3892578125	0.01607603253450155
1419.3921875	0.015288384280027989
1419.3951171875	0.01479403815414751
1419.398046875	0.01592429796854725
1419.4009765625	0.016069361559836726
1419.40390625	0.014902368749190799
1419.4068359375	0.014404150708510912
1419.409765625	0.014319869718328925
1419.4126953125	0.014220911869074216
1419.415625	0.01506188540098085
1419.4185546875	0.015495773522108356
1419.421484375	0.014416565972917263
1419.4244140625	0.015911237001708656
1419.42734375	0.015391960092746118
1419.4302734375	0.014765692158704151
1419.433203125	0.015732435950937613
1419.4361328125	0.015990330010621362
1419.4390625	0.015359375292910739
1419.4419921875	0.016548412515329222
1419.444921875	0.015901688515492736
1419.4478515625	0.015366949082438006
1419.45078125	0.015053205755123882
1419.4537109375	0.014759563296558148
1419.456640625	0.016457655004792283
